Date (dd/mm/yyyy),CustomerID,PromotionID,Product ID,Units Sold,Price Per Unit,Total Sales,Discount Percentage,Discount Value,Net Sales
04-02-2020,10,0,P004,2,,,,,
19-05-2022,28,PR001,P027,3,,,,,
01-07-2022,2,0,P011,3,,,,,
06-04-2022,11,PR001,P009,2,,,,,
02-01-2022,34,0,P002,1,,,,,
11-02-2023,44,0,P019,1,,,,,
15-07-2023,42,PR004,P014,2,,,,,
28-01-2021,46,0,P025,1,,,,,
25-05-2022,21,PR001,P019,2,,,,,
25-05-2023,48,PR001,P005,3,,,,,
03-10-2023,18,0,P001,1,,,,,
23-08-2020,28,0,P010,2,,,,,
29-05-2023,17,PR001,P002,3,,,,,
08-07-2023,28,PR004,P002,3,,,,,
13-12-2022,23,0,P002,3,,,,,
12-11-2020,8,0,P029,1,,,,,
15-12-2022,41,0,P022,3,,,,,
01-01-2022,48,PR003,P011,3,,,,,
01-10-2020,12,0,P010,1,,,,,
08-11-2021,40,0,P012,1,,,,,
19-06-2020,31,0,P016,3,,,,,
22-07-2021,6,0,P023,3,,,,,
02-02-2023,25,0,P029,2,,,,,
07-02-2022,27,0,P028,2,,,,,
29-03-2020,31,0,P008,2,,,,,
20-02-2021,40,0,P013,1,,,,,
26-04-2020,3,PR001,P005,3,,,,,
05-01-2023,44,0,P016,2,,,,,
10-03-2022,2,0,P010,3,,,,,
18-04-2021,17,PR001,P017,1,,,,,
30-01-2020,1,0,P018,1,,,,,
16-05-2021,43,PR001,P001,3,,,,,
20-02-2020,24,0,P020,2,,,,,
28-08-2020,14,0,P017,3,,,,,
24-02-2022,20,0,P013,3,,,,,
18-09-2020,14,0,P025,2,,,,,
04-07-2020,49,PR004,P023,1,,,,,
10-06-2021,31,0,P014,1,,,,,
31-12-2023,29,PR005,P018,1,,,,,
21-06-2021,43,0,P020,3,,,,,
09-09-2022,11,0,P020,3,,,,,
19-09-2021,27,0,P023,3,,,,,
22-09-2021,18,0,P016,1,,,,,
03-05-2022,9,PR001,P004,2,,,,,
31-12-2023,33,PR005,P019,3,,,,,
30-10-2022,42,0,P017,1,,,,,
07-04-2022,17,PR001,P010,1,,,,,
03-04-2022,32,PR001,P008,1,,,,,
01-08-2020,24,0,P023,3,,,,,
09-02-2022,25,0,P002,1,,,,,
12-11-2023,32,0,P010,2,,,,,
23-12-2022,35,0,P028,2,,,,,
11-09-2022,10,0,P019,1,,,,,
24-01-2021,3,0,P002,3,,,,,
19-09-2022,49,0,P007,3,,,,,
03-09-2023,42,0,P007,1,,,,,
07-09-2023,16,0,P018,2,,,,,
01-03-2023,46,0,P026,3,,,,,
11-02-2020,1,0,P011,3,,,,,
29-05-2022,4,PR001,P018,3,,,,,
15-04-2020,18,PR001,P023,3,,,,,
01-07-2023,7,PR004,P013,3,,,,,
24-11-2021,19,0,P022,3,,,,,
07-08-2023,45,0,P009,1,,,,,
02-10-2023,33,0,P021,3,,,,,
11-05-2023,13,PR001,P009,3,,,,,
17-05-2023,47,PR001,P019,1,,,,,
29-06-2022,44,0,P021,1,,,,,
02-10-2023,35,0,P028,1,,,,,
04-01-2020,34,0,P023,2,,,,,
07-05-2020,20,PR001,P023,3,,,,,
31-12-2023,2,PR005,P030,1,,,,,
22-07-2023,20,PR004,P029,2,,,,,
14-01-2022,6,0,P010,1,,,,,
14-04-2023,14,PR001,P029,2,,,,,
13-11-2021,10,0,P018,3,,,,,
26-01-2020,48,0,P021,1,,,,,
26-08-2021,32,0,P026,3,,,,,
01-01-2022,32,PR003,P024,3,,,,,
22-03-2022,35,0,P024,1,,,,,
30-10-2021,26,0,P021,3,,,,,
05-06-2020,24,0,P006,2,,,,,
10-05-2022,6,PR001,P004,1,,,,,
